Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 4096, 1, 2, 512, 0.910786, 1.34106, N/A, 0.175814, 0.181995, 2.55632, 0.321735, 2, 2, 1, 2, 2, 1, 14.0988, 2, 2, 0.5, 1, 1, 1, 63.3894, 
90, 4096, 1, 2, 512, 0.910786, 1.34106, N/A, 0.175814, 0.181995, 2.07036, 0.382315, 2, 2, 1, 2, 2, 1, 11.859, 2, 2, 0.5, 1, 1, 1, 43.6141, 
90, 4096, 1, 2, 512, 0.910786, 1.34106, N/A, 0.175814, 0.181995, 2.55632, 0.321735, 2, 2, 1, 2, 2, 1, 14.0988, 2, 2, 0.5, 1, 1, 1, 63.3894, 
90, 4096, 1, 2, 512, 0.910786, 1.34106, N/A, 0.175814, 0.181995, 2.07036, 0.382315, 2, 2, 1, 2, 2, 1, 11.859, 2, 2, 0.5, 1, 1, 1, 43.6141, 
90, 4096, 1, 2, 512, 0.910786, 1.34106, N/A, 0.175814, 0.181995, 1.93681, 0.382315, 2, 2, 1, 2, 2, 1, 11.859, 2, 2, 0.5, 1, 1, 1, 43.6141, 
90, 4096, 1, 2, 512, 0.910786, 1.34106, N/A, 0.175814, 0.181995, 2.07036, 0.382315, 2, 2, 1, 2, 2, 1, 11.859, 2, 2, 0.5, 1, 1, 1, 43.6141, 
90, 4096, 1, 2, 512, 0.910786, 1.34106, N/A, 0.175814, 0.181995, 2.07036, 0.382315, 2, 2, 1, 2, 2, 1, 11.859, 2, 2, 0.5, 1, 1, 1, 43.6141, 
90, 4096, 1, 2, 512, 0.910786, 1.34106, N/A, 0.175814, 0.181995, 2.07036, 0.382315, 2, 2, 1, 2, 2, 1, 11.859, 2, 2, 0.5, 1, 1, 1, 43.6141, 
90, 4096, 1, 2, 512, 0.910786, 1.34106, N/A, 0.175814, 0.181995, 2.07036, 0.382315, 2, 2, 1, 2, 2, 1, 11.859, 2, 2, 0.5, 1, 1, 1, 43.6141, 
90, 4096, 1, 2, 512, 0.855824, 1.34106, N/A, 0.175655, 0.180002, 1.99477, 0.382025, 2, 2, 0.5, 2, 2, 1, 11.859, 2, 2, 0.5, 1, 1, 1, 30.1528, 
