Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 32768, 1, 2, 32, 0.247567, 0.198345, N/A, 0.00351342, 0.00227003, 2.33952, 0.0314539, 2, 4, 0.0625, 16, 2, 1, 70.9747, 2, 2, 0.5, 2, 1, 1, 53.547, 
22, 32768, 1, 2, 32, 0.247567, 0.198345, N/A, 0.00351342, 0.00227003, 2.33952, 0.0314539, 2, 4, 0.0625, 16, 2, 1, 70.9747, 2, 2, 0.5, 2, 1, 1, 53.547, 
40, 8192, 1, 2, 32, 0.265174, 0.239594, N/A, 0.0047836, 0.00424836, 3.75556, 0.0276143, 2, 2, 0.03125, 8, 2, 1, 67.3311, 2, 2, 0.25, 1, 1, 1, 29.5522, 
32, 16384, 1, 2, 32, 0.250085, 0.297789, N/A, 0.00595339, 0.00400467, 3.09624, 0.033289, 2, 2, 0.0625, 16, 2, 1, 69.0949, 2, 2, 0.25, 1, 1, 1, 40.6557, 
40, 16384, 1, 2, 32, 0.305397, 0.363393, N/A, 0.00872815, 0.00615089, 7.06927, 0.0516944, 2, 2, 0.0625, 16, 2, 1, 69.5162, 2, 2, 0.25, 1, 1, 1, 41.417, 
22, 16384, 1, 2, 32, 0.167855, 0.198345, N/A, 0.00307175, 0.00184958, 1.17791, 0.0144692, 2, 2, 0.0625, 16, 2, 1, 75.1794, 2, 2, 0.25, 1, 1, 1, 51.0538, 
32, 32768, 1, 2, 32, 0.322134, 0.355519, N/A, 0.00936261, 0.00563424, 6.09012, 0.0594148, 2, 2, 0.0625, 16, 2, 1, 77.6331, 2, 2, 0.25, 1, 1, 1, 50.2431, 
40, 32768, 1, 2, 32, 0.387959, 0.430365, N/A, 0.0134575, 0.00856213, 13.9491, 0.0925217, 2, 2, 0.0625, 16, 2, 1, 77.8983, 2, 2, 0.25, 1, 1, 1, 50.7631, 
22, 32768, 1, 2, 32, 0.247567, 0.198345, N/A, 0.00351342, 0.00227003, 2.33952, 0.0314539, 2, 4, 0.0625, 16, 2, 1, 70.9747, 2, 2, 0.5, 2, 1, 1, 53.547, 
22, 32768, 1, 2, 32, 0.247567, 0.198345, N/A, 0.00351342, 0.00227003, 2.33952, 0.0314539, 2, 4, 0.0625, 16, 2, 1, 70.9747, 2, 2, 0.5, 2, 1, 1, 53.547, 
22, 32768, 1, 2, 32, 0.247567, 0.198345, N/A, 0.00351342, 0.00227003, 2.33952, 0.0314539, 2, 4, 0.0625, 16, 2, 1, 70.9747, 2, 2, 0.5, 2, 1, 1, 53.547, 
22, 32768, 1, 2, 32, 0.247567, 0.198345, N/A, 0.00351342, 0.00227003, 2.33952, 0.0314539, 2, 4, 0.0625, 16, 2, 1, 70.9747, 2, 2, 0.5, 2, 1, 1, 53.547, 
22, 32768, 1, 2, 32, 0.247567, 0.198345, N/A, 0.00351342, 0.00227003, 2.33952, 0.0314539, 2, 4, 0.0625, 16, 2, 1, 70.9747, 2, 2, 0.5, 2, 1, 1, 53.547, 
90, 32768, 1, 2, 32, 0.941635, 0.963583, N/A, 0.0475819, 0.0351268, 7.9216, 0.469965, 2, 2, 0.0625, 16, 2, 1, 77.6354, 2, 2, 0.25, 1, 1, 1, 50.2583, 
90, 8192, 1, 2, 32, 0.706129, 0.609311, N/A, 0.017868, 0.0175123, 2.14509, 0.140597, 2, 2, 0.03125, 8, 2, 1, 66.9507, 2, 2, 0.25, 1, 1, 1, 28.9088, 
32, 16384, 1, 2, 32, 0.250085, 0.297789, N/A, 0.00595339, 0.00400467, 3.09624, 0.033289, 2, 2, 0.0625, 16, 2, 1, 69.0949, 2, 2, 0.25, 1, 1, 1, 40.6557, 
40, 16384, 1, 2, 32, 0.305397, 0.363393, N/A, 0.00872815, 0.00615089, 7.06927, 0.0516944, 2, 2, 0.0625, 16, 2, 1, 69.5162, 2, 2, 0.25, 1, 1, 1, 41.417, 
90, 32768, 1, 2, 32, 0.941635, 0.963583, N/A, 0.0475819, 0.0351268, 7.9216, 0.469965, 2, 2, 0.0625, 16, 2, 1, 77.6354, 2, 2, 0.25, 1, 1, 1, 50.2583, 
