|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
|----:|---------------------:|--------------:|---------------:|-------------------:|--------------:|---------------:|------------------:|-----------------:|------------------:|----------------:|--------------------:|------------------:|-----------------:|-------------------:|---------------------:|--------:|------------------:|
|  67 |               682572 |        544188 |         138384 |                 48 |            48 |              0 |          7e-05    |         7e-05    |          0        |               0 |            2.31409  |        0.00233447 |       0.00343046 |                 32 |                  128 |       1 |         0.198345  |
| 158 |               682572 |        544188 |         138384 |                 48 |            48 |              0 |          7e-05    |         7e-05    |          0        |               0 |            2.31752  |        0.00227003 |       0.00351342 |                 32 |                  128 |       2 |         0.198345  |
| 147 |               682572 |        544188 |         138384 |                 48 |            48 |              0 |          7e-05    |         7e-05    |          0        |               0 |            2.34387  |        0.00248105 |       0.00366962 |                 32 |                  128 |       4 |         0.198345  |
| 146 |               682572 |        544188 |         138384 |                 48 |            48 |              0 |          7e-05    |         7e-05    |          0        |               0 |            4.61697  |        0.00304265 |       0.00431221 |                 64 |                  128 |       1 |         0.198345  |
|  88 |               682572 |        544188 |         138384 |                 48 |            48 |              0 |          7e-05    |         7e-05    |          0        |               0 |            4.61803  |        0.00347327 |       0.00433846 |                 64 |                  128 |       2 |         0.198345  |
|  66 |               682572 |        544188 |         138384 |                 48 |            48 |              0 |          7e-05    |         7e-05    |          0        |               0 |            4.64411  |        0.00354448 |       0.00445656 |                 64 |                  128 |       4 |         0.198345  |
|  72 |               682572 |        544188 |         138384 |                 48 |            48 |              0 |          7e-05    |         7e-05    |          0        |               0 |            4.7562   |        0.00371498 |       0.00477078 |                 64 |                  128 |       8 |         0.198345  |
|  13 |               682572 |        544188 |         138384 |                 96 |            96 |              0 |          0.000141 |         0.000141 |          0        |               0 |            2.33245  |        0.00236253 |       0.00350614 |                 32 |                   64 |       1 |         0.198345  |
|  17 |               682572 |        544188 |         138384 |                 96 |            96 |              0 |          0.000141 |         0.000141 |          0        |               0 |            2.33647  |        0.00247142 |       0.00360678 |                 32 |                   64 |       2 |         0.198345  |
|  39 |               682572 |        544188 |         138384 |                 96 |            96 |              0 |          0.000141 |         0.000141 |          0        |               0 |            2.36319  |        0.00280076 |       0.0037     |                 32 |                   64 |       4 |         0.198345  |
